strategy,lambda,total_packets_sent,total_packets_generated,total_bytes,avg_packet_size,packets_per_second,avg_transit_time
periodic,0.1,13,13,846,65.07692307692308,0.15055155053538385,0.0005206153846152341
periodic,0.2,21,21,1024,48.76190476190476,0.21926847698059326,0.00039009523809564387
periodic,0.3,21,21,996,47.42857142857143,0.21872026207468553,0.00037942857142736437
periodic,0.4,26,26,1329,51.11538461538461,0.2601616564683567,0.0004089230769220638
periodic,0.5,33,33,2060,62.42424242424242,0.33694920976963383,0.0004993939393937556
periodic,0.6,35,35,2229,63.68571428571428,0.3649185155258818,0.0005094857142858459
periodic,0.7,42,42,2113,50.30952380952381,0.42486063342443126,0.0004024761904759937
periodic,0.8,47,47,2763,58.787234042553195,0.4744054490120174,0.00047029787234077974
periodic,0.9,52,52,3049,58.63461538461539,0.5239965407807521,0.0004690769230765866
periodic,1.0,54,54,3111,57.611111111111114,0.5477098911805633,0.00046088888888879743
periodic,1.1,51,51,2737,53.666666666666664,0.5124779853565223,0.0004293333333338268
periodic,1.2,60,60,3161,52.68333333333333,0.6075014755857149,0.00042146666666696654
periodic,1.3,66,66,3459,52.40909090909091,0.674465204439094,0.00041927272727257755
periodic,1.4,50,50,2590,51.8,0.5076209335155741,0.00041440000000023857
periodic,1.5,68,68,3412,50.1764705882353,0.68442870018946,0.00040141176470616976
periodic,1.6,55,55,2659,48.345454545454544,0.5548523646695667,0.0003867636363637228
periodic,1.7,60,60,3197,53.28333333333333,0.6059413102231764,0.000426266666666622
periodic,1.8,62,62,3695,59.596774193548384,0.6250977828922893,0.0004767741935481735
periodic,1.9,69,69,3287,47.63768115942029,0.711787186816519,0.00038110144927543766
periodic,2.0,65,65,3931,60.47692307692308,0.6589358923553171,0.00048381538461488596
periodic,2.1,73,73,4280,58.63013698630137,0.7457320537553657,0.0004690410958903186
periodic,2.2,78,78,4483,57.47435897435897,0.7973662848611207,0.00045979487179522094
periodic,2.3,65,65,3603,55.43076923076923,0.6525137369458696,0.0004434461538458099
periodic,2.4,76,76,4259,56.03947368421053,0.7603545157471924,0.00044831578947327773
periodic,2.5,67,67,3650,54.47761194029851,0.6731361135216307,0.00043582089552238824
periodic,2.6,74,74,4122,55.7027027027027,0.7536741318400146,0.0004456216216217005
periodic,2.7,79,79,4006,50.70886075949367,0.7902942273032529,0.00040567088607572284
periodic,2.8,65,65,3693,56.815384615384616,0.6585711619062038,0.00045452307692345374
periodic,2.9,79,79,4452,56.35443037974684,0.795572230283825,0.00045083544303852277
periodic,3.0,77,77,3936,51.116883116883116,0.7773388501140085,0.0004089350649348687
periodic,3.1,67,67,3623,54.07462686567164,0.6734208316802583,0.00043259701492539074
periodic,3.2,71,71,3913,55.11267605633803,0.7101122521626883,0.0004409014084504409
periodic,3.3,86,86,4872,56.651162790697676,0.8626461003183077,0.00045320930232573876
periodic,3.4,83,83,4400,53.01204819277108,0.8327847788059927,0.0004240963855422698
periodic,3.5,82,82,4129,50.353658536585364,0.8252609121042916,0.0004028292682923707
periodic,3.6,80,80,4580,57.25,0.8095839233800909,0.00045799999999990656
periodic,3.7,81,81,4372,53.97530864197531,0.8175523838668055,0.0004318024691359541
periodic,3.8,93,93,4885,52.526881720430104,0.9332827530462586,0.000420215053763406
periodic,3.9,88,88,4439,50.44318181818182,0.8853839123255021,0.0004035454545451157
periodic,4.0,71,71,3763,53.0,0.7110375482140714,0.0004240000000000283
periodic,4.1,86,86,5086,59.13953488372093,0.8684127622963924,0.00047311627906951016
periodic,4.2,87,87,4587,52.724137931034484,0.8857230121526868,0.00042179310344724025
periodic,4.3,80,80,4262,53.275,0.8125841708067207,0.00042619999999959245
periodic,4.4,82,82,4438,54.1219512195122,0.8372730306036978,0.0004329756097555664
periodic,4.5,86,86,4328,50.325581395348834,0.8721927373355842,0.0004026046511627296
periodic,4.6,81,81,4433,54.72839506172839,0.8144430958483048,0.0004378271604934774
periodic,4.7,80,80,4713,58.9125,0.808067631363681,0.00047129999999977955
